{0 0.128507,1 5,2 -1}
{0 0.142971,1 5,2 -1}
{0 0.106749,1 5,2 -1}
{0 0.331717,1 4,2 -1}
{0 0.070013,1 5,2 -1}
{0 0.131638,1 5,2 -1}
{0 0.171814,1 5,2 -1}
{2 -1}
{0 0.210575,1 5,2 -1}
{0 0.140444,1 5,2 -1}
{0 0.216253,1 6,2 -1}
{0 0.065372,1 2,2 -1}
{0 0.174243,1 5,2 -1}
{2 -1}
{0 0.233919,1 3,2 -1}
{0 0.09507,1 5,2 -1}
{0 0.157529,1 4,2 -1}
{0 0.131451,1 5,2 -1}
{0 0.132823,1 5,2 -1}
{0 0.083542,1 1,2 -1}
{0 0.165312,1 3,2 -1}
{0 0.130786,1 3,2 -1}
{0 0.158193,1 3,2 -1}
{0 0.055556,1 1,2 -1}
{0 0.115931,1 5,2 -1}
{0 0.205351,1 5,2 -1}
{0 0.167952,1 5,2 -1}
{0 0.157839,1 5,2 -1}
{0 0.135153,1 2,2 -1}
{0 0.320284,1 4,2 -1}
{0 0.038662,1 4,2 -1}
{0 0.134681,1 5,2 -1}
{0 0.09112,1 5,2 -1}
{0 0.211372,1 6,2 -1}
{0 0.033624,1 3,2 -1}
{0 0.187745,1 4,2 -1}
{0 0.13585,1 5,2 -1}
{0 0.082199,1 1,2 -1}
{0 0.267993,1 5,2 -1}
{0 0.035821,1 5,2 -1}
{0 0.098426,1 3,2 -1}
{0 0.162254,1 5,2 -1}
{0 0.174595,1 4,2 -1}
{0 0.046225,1 1,2 -1}
{0 0.099028,1 5,2 -1}
{0 0.129092,1 5,2 -1}
{0 0.223047,1 5,2 -1}
{0 0.117786,1 4,2 -1}
{0 0.035311,1 4,2 -1}
{0 0.105928,1 5,2 -1}
{0 0.178174,1 2,2 -1}
{0 0.046449,1 2,2 -1}
{0 0.044544,1 1,2 -1}
{0 0.178538,1 5,2 -1}
{0 0.135093,1 4,2 -1}
{0 0.265096,1 5,2 -1}
{0 0.212191,1 40,2 -1}
{0 0.23386,1 56,2 -1}
{0 0.137858,1 34,2 -1}
{0 0.071803,1 4,2 -1}
{0 0.138237,1 33,2 -1}
{0 0.090219,1 22,2 -1}
{0 0.192723,1 41,2 -1}
{0 0.08046,1 7,2 -1}
{0 0.365526,1 49,2 -1}
{0 0.074653,1 4,2 -1}
{0 0.192915,1 21,2 -1}
{0 0.148677,1 16,2 -1}
{0 0.271688,1 52}
{0 0.186347,1 30,2 -1}
{0 0.213964,1 42,2 -1}
{0 0.359232,1 56,2 -1}
{0 0.169403,1 1,2 -1}
{0 0.085327,1 14,2 -1}
{0 0.20489,1 61,2 -1}
{0 0.023507,1 2,2 -1}
{0 0.194638,1 57,2 -1}
{0 0.256213,1 26,2 -1}
{0 0.23534,1 32,2 -1}
{0 0.274211,1 56,2 -1}
{0 0.148665,1 44,2 -1}
{0 0.189206,1 37,2 -1}
{0 0.177541,1 59,2 -1}
{0 0.156715,1 37,2 -1}
{0 0.14124,1 21,2 -1}
{0 0.127431,1 59,2 -1}
{0 0.190637,1 42,2 -1}
{0 0.234238,1 66,2 -1}
{0 0.061899,1 2,2 -1}
{0 0.328242,1 48,2 -1}
{0 0.195674,1 40,2 -1}
{0 0.210301,1 40,2 -1}
{0 0.181283,1 15,2 -1}
{0 0.179893,1 41,2 -1}
