@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.06453754654298223,1 5,2 -1}
{0 0.14392850567849572,1 4,2 -1}
{0 0.10225845162854925,1 5,2 -1}
{0 0.011608941640719002,1 5,2 -1}
{0 0.08306447988457787,1 4,2 -1}
{0 0.11227217828476796,1 3,2 -1}
{0 0.00975621363797355,1 1,2 -1}
{0 0.09356014857063996,1 2,2 -1}
{0 0.16591080487253987,1 5,2 -1}
{0 0.12396948235952077,1 6,2 -1}
{0 0.04111856241053917,1 3,2 -1}
{0 0.13339624973392908,1 21,2 -1}
{0 0.12643151336692487,1 28,2 -1}
{0 0.10315916064157053,1 19,2 -1}
{0 0.10843775050132862,1 2,2 -1}
{0 0.10261772232199283,1 20,2 -1}
{0 0.08489055294671628,1 17,2 -1}
{0 0.16684279230457194,1 24,2 +1}
{0 0.11440940903702937,1 4,2 -1}
{0 0.1476959186220984,1 25,2 -1}
{0 0.05604893478281769,1 5,2 -1}
{0 0.08344142230975592,1 12,2 -1}
{0 0.09237269626210114,1 11,2 -1}
{0 0.13645779552508688,1 29,2 -1}
{0 0.16419464736415776,1 20,2 -1}
{0 0.14021307934835694,1 24,2 -1}
{0 0.14546522632281178,1 33,2 -1}
{0 0.044161840562551936,1 1,2 -1}
{0 0.06673180086392881,1 7,2 -1}
{0 0.1273537670363009,1 33,2 -1}
{0 0.08296277109608165,1 3,2 -1}
{0 0.13103723306668216,1 34,2 -1}
{0 0.1172490716609956,1 18,2 -1}
{0 0.12476950139970551,1 18,2 -1}
{0 0.14426929458057738,1 37,2 -1}
{0 0.1059817418389857,1 29,2 -1}
{0 0.18906431737987328,1 22,2 -1}
{0 0.14344938628163498,1 34,2 -1}
{0 0.14128247721707582,1 21,2 -1}
{0 0.0637543205039288,1 15,2 -1}
{0 0.09174701093908971,1 39,2 -1}
{0 0.12741610397603237,1 25,2 -1}
{0 0.1366958655890873,1 41,2 -1}
{0 0.051637024048251726,1 3,2 -1}
{0 0.15913111096941182,1 26,2 -1}
{0 0.12893149097825574,1 24,2 -1}
{0 0.1550974986627036,1 20,2 -1}
{0 0.0945173001395522,1 11,2 -1}
{0 0.14901362165021453,1 21,2 -1}
{0 0.02760115035159496,1 2,2 -1}
{0 0.04762527451289594,1 6,2 -1}
{0 0.10111404905454105,1 27,2 -1}
{0 0.08785075312920693,1 14,2 -1}
{0 0.15282957419952606,1 27,2 -1}
{0 0.1163886121389894,1 32,2 -1}
{0 0.1397698273748033,1 8,2 -1}
{0 0.12823270304478437,1 19,2 -1}
{0 0.12082415634384884,1 14,2 -1}
{0 0.1225292356306555,1 13,2 -1}
{0 0.1067165163663869,1 5,2 -1}
{0 0.10328676779096671,1 30,2 -1}
{0 0.14412109147578706,1 21,2 -1}
{0 0.1141923861713137,1 23,2 -1}
{0 0.11216871761692093,1 22,2 -1}
{0 0.13399480899100544,1 16,2 -1}
{0 0.1506061198360641,1 21,2 -1}
{0 0.09055581077062302,1 16,2 -1}
{0 0.16415372197319208,1 31,2 -1}
{0 0.09017286513164724,1 19,2 -1}
{0 0.14635979594555984,1 35,2 -1}
{0 0.07222800459525414,1 14,2 -1}
{0 0.09177529466759228,1 16,2 -1}
{0 0.08940332135813961,1 19,2 -1}
{0 0.1443142658369144,1 7,2 -1}
{0 0.11536294403877217,1 21,2 -1}
{0 0.12046880994644965,1 23,2 -1}
{0 0.1672839471175721,1 15,2 -1}
{0 0.1571536556636422,1 28,2 -1}
{0 0.1755954650378908,1 16,2 -1}
{0 0.08592920211615633,1 4,2 -1}
{0 0.15886386103933073,1 34,2 -1}
{0 0.11714397618844878,1 22,2 -1}
{0 0.1476136733618645,1 16,2 -1}
{0 0.12650775562351943,1 16,2 -1}
{0 0.08324045783963892,1 23,2 -1}
{0 0.13477654516999155,1 19,2 -1}
{0 0.05520230070318992,1 4,2 -1}
{0 0.046050840850159584,1 4,2 -1}
{0 0.0690028758789874,1 3,2 -1}
{0 0.17767812561537485,1 22,2 -1}
{0 0.16766321205802473,1 26,2 -1}
{0 0.12054559477717766,1 13,2 -1}
{0 0.07819352611362788,1 2,2 -1}
{0 0.10173941255790309,1 3,2 -1}
{0 0.009015230574682735,1 1,2 -1}
{0 0.0,1 0,2 -1}
{0 0.030542361089076306,1 2,2 -1}
{0 0.0076678459016468045,1 1,2 -1}
{0 0.03297650218268349,1 2,2 -1}
{0 0.06154574548966636,1 1,2 +1}
{0 0.16263277723726924,1 2,2 -1}
{0 0.0,1 0,2 -1}
{0 0.06356337996163237,1 1,2 -1}
{0 0.026153289048297067,1 2,2 -1}
{0 0.13395424558725308,1 2,2 -1}
{0 0.08139382036355736,1 2,2 -1}
{0 0.07999796252681905,1 3,2 -1}
{0 0.21737737608704172,1 2,2 -1}
{0 0.13363062095621217,1 1,2 -1}
{0 0.0,1 0,2 -1}
{0 0.0673883490067755,1 2,2 -1}
{0 0.0,1 0,2 -1}
{0 0.06062078854583004,1 2,2 -1}
{0 0.11826247919781652,1 2,2 -1}
{0 0.051483235720081,1 1,2 -1}
{0 0.10186639337157366,1 2,2 -1}
{0 0.029530814795008062,1 2,2 -1}
{0 0.04167797407458376,1 2,2 -1}
{0 0.02474495460570754,1 2,2 -1}
{0 0.02258160452263065,1 2,2 -1}
{0 0.004216745052000466,1 1,2 -1}
{0 0.00950790415737185,1 3,2 -1}
{0 0.030639906891138484,1 2,2 -1}
{0 0.06658805776286335,1 3,2 -1}
{0 0.0,1 0,2 -1}
{0 0.1258874615507499,1 2,2 -1}
{0 0.058338335119694794,1 1,2 -1}
{0 0.04141006884005342,1 2,2 -1}
{0 0.098058067569092,1 2,2 -1}
{0 0.02992730508382406,1 2,2 -1}
{0 0.0,1 0,2 -1}
{0 0.0,1 0,2 -1}
{0 0.06620943710793668,1 2,2 -1}
{0 0.013899618043744165,1 1,2 -1}
{0 0.0321324397700487,1 3,2 -1}
{0 0.03887506010605249,1 2,2 -1}
{0 0.0,1 0,2 -1}
{0 0.06428785635743144,1 1,2 -1}
{0 0.16050968437644486,1 1,2 -1}
{0 0.0,1 0,2 -1}
{0 0.0,1 0,2 -1}
{0 0.03361021739194494,1 2,2 -1}
{0 0.1621190624575377,1 2,2 -1}
{0 0.1518469651777428,1 2,2 -1}
{0 0.03699342167478203,1 2,2 -1}
{0 0.0,1 0,2 -1}
{0 0.1635493744482641,1 2,2 -1}
{0 0.0144981750845733,1 2,2 -1}
{0 0.02745921622495656,1 2,2 -1}
{0 0.01004997210131617,1 2,2 -1}
{0 0.07640693346826401,1 2,2 -1}
